"TableName","FieldName","FieldType"
"tblAbsenceTypes","fldCode","xs:int"
"tblAbsenceTypes","fldDescriptionENG","xs:string"
"tblAbsenceTypes","fldDescriptionFRA","xs:string"
"tblAbsenceTypes","fldDescriptionGER","xs:string"
"tblAbsenceTypes","fldDescriptionHEB","xs:string"
"tblAbsenceTypes","fldDescriptionNED","xs:string"
"tblAbsenceTypes","fldDescriptionSPN","xs:string"
"tblAbsenceTypes","fldDescriptionITA","xs:string"
"tblAccountancySessions","fldStore","xs:short"
"tblAccountancySessions","fldID","xs:int"
"tblAccountancySessions","fldGroupID","xs:int"
"tblAccountancySessions","fldOpenDate","xs:dateTime"
"tblAccountancySessions","fldCloseDate","xs:dateTime"
"tblAccountancySessions","fldLastDeclarationID","xs:int"
"tblAccountingCodes","fldStore","xs:short"
"tblAccountingCodes","fldType","xs:int"
"tblAccountingCodes","fldCode","xs:long"
"tblAccountingCodes","fldAccountingCode","xs:string"
"tblAccountingCodes","fldRemarks","xs:string"
"tblAccountingCodes","fldTranType","xs:string"
"tblAccounts","fldAccount","xs:string"
"tblAccounts","fldNameENG","xs:string"
"tblAccounts","fldDescriptionENG","xs:string"
"tblAccounts","fldTS","xs:int"
"tblAccounts","fldNameFRA","xs:string"
"tblAccounts","fldNameGER","xs:string"
"tblAccounts","fldNameHEB","xs:string"
"tblAccounts","fldNameNED","xs:string"
"tblAccounts","fldNameSPN","xs:string"
"tblAccounts","fldDescriptionFRA","xs:string"
"tblAccounts","fldDescriptionGER","xs:string"
"tblAccounts","fldDescriptionHEB","xs:string"
"tblAccounts","fldDescriptionNED","xs:string"
"tblAccounts","fldDescriptionSPN","xs:string"
"tblAccounts","fldType","xs:int"
"tblAccounts","fldMinAmount","xs:int"
"tblAccounts","fldLowAmount","xs:int"
"tblAccounts","fldHighAmount","xs:int"
"tblAccounts","fldMaxAmount","xs:int"
"tblAccounts","fldRemarks","xs:string"
"tblAccounts","fldAccountingCode","xs:string"
"tblAccounts","fldLocked","xs:boolean"
"tblAccounts","fldSubType","xs:int"
"tblAccounts","fldGroup","xs:int"
"tblAccounts","fldPaymean","xs:int"
"tblAccounts","fldBalance","xs:int"
"tblAccounts","fldNameITA","xs:string"
"tblAccounts","fldDescriptionITA","xs:string"
"tblAccounts","fldPOSHighAmountMsg","xs:boolean"
"tblAccounts","fldExportTS","xs:long"
"tblAccountsGroups","fldID","xs:int"
"tblAccountsGroups","fldNameHEB","xs:string"
"tblAccountsGroups","fldNameENG","xs:string"
"tblAccountsGroups","fldNameFRA","xs:string"
"tblAccountsGroups","fldNameGER","xs:string"
"tblAccountsGroups","fldNameNED","xs:string"
"tblAccountsGroups","fldNameSPN","xs:string"
"tblAccountsGroups","fldAllowDeclaration","xs:boolean"
"tblAccountsGroups","fldGroupType","xs:int"
"tblAccountsGroups","fldDesc","xs:string"
"tblAccountsGroups","fldAccountingCode","xs:string"
"tblAccountsGroups","fldCurrentAccountancySession","xs:int"
"tblAccountsGroups","fldNameITA","xs:string"
"tblAccountsGroups","fldStore","xs:short"
"tblAccountsGroups","fldTerminal","xs:short"
"tblAccountsGroups","fldCashier","xs:int"
"tblAccountsGroups","fldTS","xs:int"
"tblAccountsGroupsTypes","fldID","xs:int"
"tblAccountsGroupsTypes","fldNameHEB","xs:string"
"tblAccountsGroupsTypes","fldNameENG","xs:string"
"tblAccountsGroupsTypes","fldOrder","xs:int"
"tblAccountsGroupsTypes","fldNameFRA","xs:string"
"tblAccountsGroupsTypes","fldNameGER","xs:string"
"tblAccountsGroupsTypes","fldNameNED","xs:string"
"tblAccountsGroupsTypes","fldNameSPN","xs:string"
"tblAccountsGroupsTypes","fldNameITA","xs:string"
"tblAccountsGroupsTypes","fldIsFundSource","xs:boolean"
"tblAccountsGroupsTypes","fldIsCollectDest","xs:boolean"
"tblAccountsGroupsTypes","fldTS","xs:int"
"tblAccountsGroupsTypes","fldInternalType","xs:short"
"tblAccountsSubTypes","fldID","xs:int"
"tblAccountsSubTypes","fldNameHEB","xs:string"
"tblAccountsSubTypes","fldNameENG","xs:string"
"tblAccountsSubTypes","fldNameFRA","xs:string"
"tblAccountsSubTypes","fldNameGER","xs:string"
"tblAccountsSubTypes","fldNameNED","xs:string"
"tblAccountsSubTypes","fldNameSPN","xs:string"
"tblAccountsSubTypes","fldAccountType","xs:int"
"tblAccountsSubTypes","fldInternalType","xs:short"
"tblAccountsSubTypes","fldNameITA","xs:string"
"tblAccountsSubTypes","fldTS","xs:int"
"tblAccountsSubTypes","fldDefaultAccountingCode","xs:string"
"tblAccountsTypes","fldID","xs:int"
"tblAccountsTypes","fldNameHEB","xs:string"
"tblAccountsTypes","fldNameENG","xs:string"
"tblAccountsTypes","fldNameFRA","xs:string"
"tblAccountsTypes","fldNameGER","xs:string"
"tblAccountsTypes","fldNameNED","xs:string"
