"TableName","FieldName","FieldType"
"tblAccounts","fldPaymean","xs:int"
"tblBanks","fldChequeNameTop","xs:unsignedByte"
"tblBanks","fldChequeNameRight","xs:unsignedByte"
"tblBanks","fldChequeAmountTop","xs:unsignedByte"
"tblBanks","fldChequeAmountLeft","xs:unsignedByte"
"tblBanks","fldChequeAmountWordsTop","xs:unsignedByte"
"tblBanks","fldChequeAmountWordsRight","xs:unsignedByte"
"tblBanks","fldChequeDateTop","xs:unsignedByte"
"tblBanks","fldChequeDateLeft","xs:unsignedByte"
"tblBankTrans","fldReference","xs:string"
"tblBillTypes","fldPaymean","xs:int"
"tblChequeStatuses","fldID","xs:unsignedByte"
"tblChequeStatuses","fldNameHEB","xs:string"
"tblChequeStatuses","fldNameENG","xs:string"
"tblChequeStatuses","fldNameFRA","xs:string"
"tblChequeStatuses","fldNameGER","xs:string"
"tblChequeStatuses","fldNameNED","xs:string"
"tblChequeStatuses","fldNameSPN","xs:string"
"tblChequeStatuses","fldNameITA","xs:string"
"tblCreditCardOptions","fldCardType","xs:int"
"tblCreditCardOptions","fldID","xs:short"
"tblCreditCardOptions","fldMode","xs:short"
"tblCreditCardOptions","fldCaptionHEB","xs:string"
"tblCreditCardOptions","fldDescriptionHEB","xs:string"
"tblCreditCardOptions","fldCaptionENG","xs:string"
"tblCreditCardOptions","fldCaptionFRA","xs:string"
"tblCreditCardOptions","fldCaptionGER","xs:string"
"tblCreditCardOptions","fldCaptionITA","xs:string"
"tblCreditCardOptions","fldCaptionNED","xs:string"
"tblCreditCardOptions","fldCaptionSPN","xs:string"
"tblCreditCardOptions","fldDescriptionENG","xs:string"
"tblCreditCardOptions","fldDescriptionFRA","xs:string"
"tblCreditCardOptions","fldDescriptionGER","xs:string"
"tblCreditCardOptions","fldDescriptionITA","xs:string"
"tblCreditCardOptions","fldDescriptionNED","xs:string"
"tblCreditCardOptions","fldDescriptionSPN","xs:string"
"tblCreditCardTypes","fldCardType","xs:int"
"tblCreditCardTypes","fldStarsName","xs:string"
"tblCreditCardTypes","fldStarsRate","xs:int"
"tblCreditCardTypes","fldApprovalPhone","xs:string"
"tblCreditCardTypes","fldIdentification","xs:string"
"tblCreditCardTypes","fldNameHEB","xs:string"
"tblCreditCardTypes","fldNameENG","xs:string"
"tblCreditCardTypes","fldNameFRA","xs:string"
"tblCreditCardTypes","fldNameGER","xs:string"
"tblCreditCardTypes","fldNameITA","xs:string"
"tblCreditCardTypes","fldNameNED","xs:string"
"tblCreditCardTypes","fldNameSPN","xs:string"
"tblCreditCardTypesValueDates","fldBanker","xs:short"
"tblCreditCardTypesValueDates","fldFromDay","xs:unsignedByte"
"tblCreditCardTypesValueDates","fldToDay","xs:unsignedByte"
"tblCreditCardTypesValueDates","fldAddedMonths","xs:unsignedByte"
"tblCreditCardTypesValueDates","fldDay","xs:unsignedByte"
"tblCreditCardTypesValueDates","fldTS","xs:int"
"tblCreditTicketsStatuses","fldID","xs:int"
"tblCreditTicketsStatuses","fldDescENG","xs:string"
"tblCreditTicketsStatuses","fldDescFRA","xs:string"
"tblCreditTicketsStatuses","fldDescGER","xs:string"
"tblCreditTicketsStatuses","fldDescHEB","xs:string"
"tblCreditTicketsStatuses","fldDescNED","xs:string"
"tblCreditTicketsStatuses","fldDescSPN","xs:string"
"tblCreditTicketsStatuses","fldDescITA","xs:string"
"tblCustomerCreditTypes","fldType","xs:short"
"tblCustomerCreditTypes","fldNameHEB","xs:string"
"tblCustomerCreditTypes","fldNameENG","xs:string"
"tblCustomerCreditTypes","fldNameFRA","xs:string"
"tblCustomerCreditTypes","fldNameGER","xs:string"
"tblCustomerCreditTypes","fldNameITA","xs:string"
"tblCustomerCreditTypes","fldNameNED","xs:string"
"tblCustomerCreditTypes","fldNameSPN","xs:string"
"tblCustomers","fldMaximumCredit","xs:int"
"tblCustomers","fldPaymentTerms","xs:short"
"tblCustomers","fldEnforceIdentitiesCredit","xs:boolean"
"tblCustomersCards","fldCustomerCode","xs:long"
"tblCustomersCards","fldIdentity","xs:short"
"tblCustomersCards","fldCardType","xs:short"
"tblCustomersCards","fldCardNumber","xs:string"
"tblCustomersCards","fldStatus","xs:short"
"tblCustomersCards","fldTS","xs:int"
"tblCustomersCards","fldOrder","xs:short"
"tblCustomersGroups","fldCreditMethod","xs:short"
