"Name","SizeBytes"
"EFTCOM.dll","139264"
"EFTCOM.INI","568"
"Interop.EFTCOMLib.dll","12288"
"Interop.POSTShvaEngine.dll","6144"
"libWisepayPinPadDriver.dll","363491"
"libWisepayPinPadDriver.dll.a","25138"
"libWisepayPinPadDriver_stdcall.dll","365982"
"libWisepayPinPadDriver_stdcall.dll.a","50406"
"POSTShvaEngine.dll","562688"
"ProfitAgeA4SVALink.dll","143872"
"ProfitAgeCHePay.dll","318464"
"ProfitAgeClearingLink.dll","115200"
"ProfitAgeSVAEMVLink.dll","252928"
"ProfitAgeSVAEMVLinkVerifone.dll","87040"
"ProfitAgeSVALink.dll","90112"
"Sodexo.ini","1377"
"WisepayPinPadAPI.h","9698"
"WisepayPinPadAPI_stdcall.h","12175"
"WisePayTester.exe","446363"
